Movie,Genre,Rating
INCEPTION,Sci-Fi,8.8
TITANIC,Romance,9.0
AVENGERS: ENDGAME,Action,8.4
THE DARK KNIGHT,Action,9.0
JOKER,Drama,8.4
FIGHT CLUB,Drama,8.8
THE MATRIX,Sci-Fi,8.7
GLADIATOR,Action,8.5
THE GODFATHER,Crime,9.2
3 IDIOTS,Comedy,8.9
DANGAL,Sports,8.3
PK,Comedy,8.1
LAGAAN,Sports,8.2
ZINDAGI NA MILEGI DOBARA,Drama,8.1
GULLY BOY,Drama,8.0
KABIR SINGH,Romance,7.5
SHOLAY,Action,8.2
BAHUBALI: THE BEGINNING,Action,8.0
BAHUBALI 2: THE CONCLUSION,Action,8.3
KGF CHAPTER 1,Action,8.2
KGF CHAPTER 2,Action,8.4
DRISHYAM,Thriller,8.2
ANDHADHUN,Thriller,8.3
WAR,Action,6.5
PATHAAN,Action,6.0
DILWALE DULHANIA LE JAYENGE,Romance,8.1
KAL HO NAA HO,Romance,8.0
MY NAME IS KHAN,Drama,8.0
ROCKSTAR,Drama,7.7
THE SHAWSHANK REDEMPTION,Drama,9.3
FORREST GUMP,Drama,8.8
THE SOCIAL NETWORK,Biography,7.7
IRON MAN,Action,7.9
DOCTOR STRANGE,Sci-Fi,7.5
BLACK PANTHER,Action,7.3
MISSION IMPOSSIBLE FALLOUT,Action,7.7
TOP GUN MAVERICK,Action,8.3
JOHN WICK,Action,7.4
THE CONJURING,Horror,7.5
IT,Horror,7.3
A QUIET PLACE,Horror,7.5
HEREDITARY,Horror,7.3
PARASITE,Thriller,8.5
OLDBOY,Thriller,8.4
TRAIN TO BUSAN,Thriller,7.6
ANNABELLE,Horror,8.0
FAST AND FURIOUS,Action,9.0
NO COUNTRY FOR OLD MAN,Drama,9.2
